gov_id|english_name|chinese_name,address|district|latitude|longitude|email|telephone|fax|placement_type|valid_license_since
317|Well Harmony Employment Services|樂傭傭僱傭服務|Unit 8C, 8th floor, Wellable Commercial Building, 513 Hennessy Road, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2803184|lng: 114.1834373|info@wellharmony.com.hk|35119039|35119239|Foreign Domestic Helpers, Local Domestic Helpers|2001
321|Garford (Hong Kong) Limited|家福(香港)有限公司|Flat E, 11th floor, Shing Hing Commercial Building, 21-27 Wing Kut Street, Central, Hong Kong|Central and Western District|lat: 22.2851436|lng: 114.1541769|jygarford@biznetvigator.com|25227676|25237002|Foreign Domestic Helpers|2001
323|Comfort Domestic Services|安樂女傭服務中心|Shop 158, Maxi Base, Maximall City Garden, 233 Electric Road, North Point, Hong Kong|Eastern District|lat: 22.2910818|lng: 114.1934304|comfortds@yahoo.com.hk|28100118|39047650|Foreign Domestic Helpers|2001
324|Home De Fairy Consultants Limited|樂之寶顧問有限公司|Flat A, 13th floor, Gold Swan Commercial Building, 438-444 Hennessy Road, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2793230|lng: 114.1817250|domestic@netvigator.com|25263331|25263380|Foreign Domestic Helpers|2001
326|K. D. Employment Agency|佳逸僱傭中心|Flat A4, 4th floor, Eton Building, 288 Des Voeux Road Central, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2865852|lng: 114.1511115|kdea@netvigator.com|25911088|25910202|Foreign Domestic Helpers|2001
329|Fine Employment Services|美好女傭中心|Room 801, Unit A, 8th floor, Acro Industrial Building, 19 Yuk Yat Street, To Kwa Wan, Kowloon|Kowloon City District|lat: 22.3167080|lng: 114.1919495|judywong03@yahoo.com.hk|23643294|23644299|Foreign Domestic Helpers|2002
334|A.V.M.S. Limited|好姊妹人力資源有限公司|Shop 240, Level 2, Metro City, Phase III, Shopping Arcade, 8 Hau Yip Road, Tseung Kwan O, New Territories|Sai Kung District|lat: 22.318576|lng: 114.2590516|tkt@avms.com.hk|27031662|27031727|Foreign Domestic Helpers, Local Domestic Helpers|2009
335|A.V.M.S. Limited|好姊妹人力資源有限公司|Shop 26, Ground floor, Block A, Town Centre, Fairview Park, Yuen Long, New Territories|Yuen Long District|lat: 22.4780591|lng: 114.0443408|yl@avms.com.hk|24822066|24710368|Foreign Domestic Helpers, Local Domestic Helpers|2006
338|Pak On (Hong Kong) Company Limited|百安(香港)有限公司|Shop A50-51, Ground floor, Ma On Shan Centre, 1 On Chun Street, Ma On Shan, New Territories|Sha Tin District|lat: 22.4255020|lng: 114.2325930|pakon_mos@yahoo. com.hk|35010000|26316188|Foreign Domestic Helpers|2010
341|Top Dragon Employment Agency|天龍僱傭公司|Room 1232, 12th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3738049|lng: 114.1163548| | | |Foreign Domestic Helpers|2010
343|Guide World Consultants Limited|嘉宏顧問有限公司|Room 1011, 10th floor, Wayson Commercial Building, 28 Connaught Road West, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2877826|lng: 114.1489052|guideworld_09@yahoo.com|25494863|25490863|Foreign Domestic Helpers|2002
349|Asia Well Employment Service|景順僱傭服務|Shop A36, Ground floor, Nan Fung Plaza, 8 Pui Shing Road, Tseung Kwan O, New Territories|Sai Kung District|lat: 22.3146290|lng: 114.2642970|edward@asiawell.com.hk|21773923|22074109|Foreign Domestic Helpers|2002
350|New Sun Moon Employment Trading Co.|新月明僱傭貿易公司|Shops 11&12, 1st floor, Wun Fat Building, 8 Wang Fat Path, Yuen Long, New Territories|Yuen Long District|lat: 22.3964280|lng: 114.1094970|newsunmoon@yahoo.com.hk|24755842|24755146|Foreign Domestic Helpers|2002
352|Pessen Technology Limited|沛成科技有限公司|Unit A, 8th floor, Wing Yee Commercial Building, 5 Wing Kut Street, Central, Hong Kong|Central and Western District|lat: 22.2847931|lng: 114.1539795|pessenpatsy@gmail.com|91234939|21160012|Foreign Domestic Helpers|2002
363|Trusty Employment Company Limited|捷誠僱傭有限公司|12th floor, Kong Ling Building, 102 Jervois Street, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2850625|lng: 114.1507695|trustycb@biznetvigator.com|25529788|28909448|Foreign Domestic Helpers|2002
372|Smart Team Employment Agency Center Company Limited|明智僱傭中心有限公司|Shop G97, Ground floor, Fortune City One, City One Shatin, Sha Tin, New Territories|Sha Tin District|lat: 22.3867692|lng: 114.2026412| | | |Foreign Domestic Helpers|2003
377|New Star Co|新星公司|Shop 216, Level 2, Metro City, Phase I, Tseung Kwan O, New Territories|Sai Kung District|lat: 22.3119357|lng: 114.2568776|newstar_tko@yahoo.com.hk|21911185|21911393|Foreign Domestic Helpers|2003
380|Tommy Employment Services|東尼僱傭公司|Unit 2008, 20th floor, Wellable Commercial Building, 513 Hennessy Road, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2803184|lng: 114.1834373|tommyagency@yahoo.com.hk|25757968|35119261|Foreign Domestic Helpers|2003
387|Efficient Employment Services|輝盛僱傭服務|Room 723, 7th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3169020|lng: 114.1702141|hkefficient@gmail.com|31881229|31881209|Foreign Domestic Helpers|2003
388|Frank Express Employment Centre|永富僱佣中心|Room 1006, 10th floor, Yu Sung Boon Building, 107-111 Des Voeux Road Central, Central, Hong Kong|Central and Western District|lat: 22.2848860|lng: 114.1556180|i_ciong@yahoo.com|25264220|28418833|Foreign Domestic Helpers|2003
389|Health Recruitment Agency|寶康僱傭服務中心|Shop 7, Ground floor, Block A, Mei Sun Lau, 442 Des Voeux Road West, Kennedy Town, Hong Kong|Central and Western District|lat: 22.2870960|lng: 114.1337870|HEALTH.candy@yahoo.com.hk|28727819|28191672|Foreign Domestic Helpers|2003
395|R & T Employment Agency|天美專業僱傭公司|Flat C5, 6th floor, Leapont Centre, 18-28 Wo Liu Hang Road, Fo Tan, Sha Tin, New Territories|Sha Tin District|lat: 22.3973810|lng: 114.1969305|tammytangok@hotmail.com|26642669|26642997|Foreign Domestic Helpers|2003
397|The Searchers Human Resources Co.|恆輝僱傭中心|Shop 117, Level 5, Sceneway Plaza, 8 Sceneway Road, Lam Tin, Kowloon|Kwun Tong District|lat: 22.3069951|lng: 114.2335701|searchers44@yahoo.com.hk|23400648|27090758|Foreign Domestic Helpers|2003
403|New Town Employment Agency|新都僱傭代理|Room 2617, 26th floor, Tuen Mun Central Square, 22 Hoi Wing Road, Tuen Mun, New Territories|Tuen Mun District|lat: 22.3812499|lng: 113.9717920|barry@newtown.on-nets.com|26189955|24589491|Foreign Domestic Helpers|2003
406|CROWN BRILLIANT AGENCY LIMITED|冠輝代理有限公司|Room 917, 9th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3738049|lng: 114.1163548| | | |Foreign Domestic Helpers|2003
407|Wise Future Employment Services Centre|智豐僱傭服務中心|Room 1501, 15th floor, Java Commercial Centre, 128 Java Road, North Point, Hong Kong|Eastern District|lat: 22.2922029|lng: 114.2004389|rona@wisefuture.com.hk|25650909|25656111|Foreign Domestic Helpers, Local Domestic Helpers|2003
408|Sung Care Employment Agency|崧淇僱傭中心|Flat F, 16th floor, Hong Kong Mansion, 1 Yee Wo Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2801680|lng: 114.1853936|kingston28@netvigator.com|25761969|25761016|Foreign Domestic Helpers, Local Domestic Helpers|2003
412|H W Employment Agency Centre||Flat D, 14th floor, National Court, 240-252 Nathan Road, Jordan, Kowloon|Yau Tsim Mong District|lat: 22.3051690|lng: 114.1719115|marylau818@gmail.com|92269071|27706568|Foreign Domestic Helpers, Local Domestic Helpers|2014
416|LEADER EMPLOYMENT COMPANY LIMITED|至尊僱傭服務有限公司|Room C, 16th floor, Tai Po Commercial Centre, 152-157 Kwong Fuk Road, Tai Po, New Territories|Tai Po District|lat: 22.4474705|lng: 114.1691585|info@leaderemployment.com.hk|26621448|23020052|Foreign Domestic Helpers|2003
417|LEADER EMPLOYMENT COMPANY LIMITED|至尊僱傭服務有限公司|Shop 217C, Level 2, Phase 1, Metro City Plaza, Tseung Kwan O, New Territories|Sai Kung District|lat: 22.3192163|lng: 114.2464569|info@leaderemployment.com.hk|27061938|27060988|Foreign Domestic Helpers|2003
418|LEADER EMPLOYMENT COMPANY LIMITED|至尊僱傭服務有限公司|Shop 316, 3rd floor, Wo Che Plaza, Wo Che Estate, Sha Tin, New Territories|Sha Tin District|lat: 22.3878108|lng: 114.1951901|info@leaderemployment.com.hk|26481918|27460238|Foreign Domestic Helpers|2013
419|LEADER EMPLOYMENT COMPANY LIMITED|至尊僱傭服務有限公司|Shop 86, Ground floor, Fu Shing Building, 9 Sai Ching Street, Yuen Long, New Territories|Yuen Long District|lat: 22.4421921|lng: 114.0275301|info@leaderemployment.com.hk|26481918| |Foreign Domestic Helpers|2007
421|LEADER EMPLOYMENT COMPANY LIMITED|至尊僱傭服務有限公司|Shop 3147-3148, 3rd floor, Lok Fu Shopping Centre, Wang Tau Hom, Kowloon|Wong Tai Sin District|lat: 22.3405302|lng: 114.1862935|info@leaderemployment.com.hk|23379866|23379839|Foreign Domestic Helpers|2004
422|LEADER EMPLOYMENT COMPANY LIMITED|至尊僱傭服務有限公司|Unit 1, Level 2, Tai Po Plaza, 1 On Tai Road, Tai Po, New Territories|Tai Po District|lat: 22.4529090|lng: 114.1704450|info@leaderemployment.com.hk|26580638|26580637|Foreign Domestic Helpers|2004
425|Sodo Sakti Dewi Co|海外拓展僱傭公司|Shop 28-27, Level 2, Jade Plaza, 3 On Chee Road, Tai Po, New Territories|Tai Po District|lat: 22.4532160|lng: 114.1676470| | | |Foreign Domestic Helpers|2003
427|Foreign Maid Employment Agency|富美僱傭服務中心|Room 2, 8th floor, Goldfield Tower, 53-59 Wu Hu Street, Hung Hom, Kowloon|Kowloon City District|lat: 22.3065076|lng: 114.1868276|formaid@yahoo.com.hk|31562334|31562336|Foreign Domestic Helpers|2003
429|Newaygo Employment Services Company|新威僱傭公司|Room 607, 6th floor, Kwong Wah Plaza, 11 Tai Tong Road, Yuen Long, New Territories|Yuen Long District|lat: 22.4439490|lng: 114.0293320|newaygo@biznetvigator.com|24740034|81430102|Foreign Domestic Helpers|2003
435|Get Maid Agency|得如僱傭中心|Shop 195, Level 1, Metro City, Phase III, Tseung Kwan O, New Territories|Sai Kung District|lat: 22.3119357|lng: 114.2568776|info@gma.hk|27066533|28159750|Foreign Domestic Helpers|2004
436|Get Maid Agency|得如僱傭中心|Shop 35, Level 3, Shatin Centre, 2-16 Wang Pok Street, Sha Tin, New Territories|Sha Tin District|lat: 22.3824950|lng: 114.1902221|info@gma.hk|21878008|28159750|Foreign Domestic Helpers|2013
444|Ming Hay Employment Services Company|明禧僱傭服務中心|Shop 5, Ground floor, Lin Fat Building, 2 Fung Kwan Street, Yuen Long, New Territories|Yuen Long District|lat: 22.4426515|lng: 114.0349977| | | |Foreign Domestic Helpers|2004
447|Jumbo International Maid Employment Agency|東南亞僱傭特區|Room 1607, 16th floor, Sino Centre, 582-592 Nathan Road, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3160365|lng: 114.1703220|jumbomaid_hk@yahoo.com.hk|29828333|29828322|Foreign Domestic Helpers|2004
448|Jumbo International Maid Employment Agency|東南亞僱傭特區|Unit 1609A, 16th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3738049|lng: 114.1163548|jumbomaid_hk@yahoo.com.hk|29828311|29828611|Foreign Domestic Helpers|2006
449|Jumbo International Maid Employment Agency|東南亞僱傭特區|Room 1507, 15th floor, Causeway Bay Commercial Building, 1-13 Sugar Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2799780|lng: 114.1864365|jumbomaid_hk@yahoo.com.hk|26688498|23388402|Foreign Domestic Helpers|2014
451|Ming Tak Services Company|明德旅遊僱傭公司|Room 1702, 17th floor, Arion Commercial Centre, 2-12 Queen's Road West, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2863057|lng: 114.1483657|mingtak.kiki@yahoo.com|25493863|29888512|Foreign Domestic Helpers|2004
455|Elise Consultant|易利事顧問|Shop 45, 1st floor, Lee Bo Building, 3 Tsing Ho Square, Tuen Mun, New Territories|Tuen Mun District|lat: 22.3884396|lng: 113.9792053|econsultant888@gmail.com|28681989|28507111|Foreign Domestic Helpers|2004
456|Elise Consultant|易利事顧問|Room 602, 6th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3738014|lng: 114.1163447|twcs.econsultant@gmail.com|92931828| |Foreign Domestic Helpers|2018
465|Happy Overseas Domestic Helpers Agency|新豐僱傭服務中心|Flat A, 4th floor, Mongkok Building, 546 Nathan Road, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3140624|lng: 114.1707116|happyagency@gmail.com|67751698|27154413|Foreign Domestic Helpers, Local Domestic Helpers|2004
468|Concord Professional Employment Service Centre|同心專業僱傭服務中心|Shop 42, Ground floor, Yue Man Centre, 300-302 Ngau Tau Kok Road, Kwun Tong, Kowloon|Kwun Tong District|lat: 22.3142670|lng: 114.2230190| | | |Foreign Domestic Helpers, Local Domestic Helpers|2004
471|ABNC EMPLOYMENT AGENCIES CO.|卓誠僱傭中心|Flat 79, Ground floor, Maximall, Blocks 1-3, City Garden, 233 Electric Road, North Point, Hong Kong|Eastern District|lat: 22.2902960|lng: 114.1942100|abncmaid@yahoo.com.hk|25762911|25763600|Foreign Domestic Helpers, Local Domestic Helpers|2004
474|Abadi Employment Consultant Centre|威信(海外)僱傭中心|Unit B166, 1st floor, Well On Garden, 9 Yuk Nga Lane, Tseung Kwan O, New Territories|Sai Kung District|lat: 22.3245205|lng: 114.2540279|tko@abadi.com.hk|27030000|27030660|Foreign Domestic Helpers, Local Domestic Helpers|2009
475|Abadi Employment Consultant Centre|威信(海外)僱傭中心|Shop 55A, 1st floor, The Podium, Fu Fai Garden, 28 On Shing Street, Sha Tin, New Territories|Sha Tin District|lat: 22.4248666|lng: 114.2338128| | | |Foreign Domestic Helpers|2018
478|M & M Development Company Limited|美上美發展有限公司|Shop 3D, Ground floor Tower 2, Hillville Terrace, 28 Tin Kwong Road, Ho Man Tin, Kowloon|Kowloon City District|lat: 22.3198587|lng: 114.1866186|tigeryscheung@yahoo.com.hk|94952041| |Foreign Domestic Helpers|2004
480|Four Seas Employment Agency|四海僱傭代理|Flat C, 1st floor, Tai Hing Building, 64-66 Tuen Mun Heung Sze Wui Road, Tuen Mun, New Territories|Tuen Mun District|lat: 22.3966546|lng: 113.9749389|fourseasmaid@yahoo.com|26122456|26122457|Foreign Domestic Helpers, Imported Worker|2004
481|Four Seas Employment Agency|四海僱傭代理|Shop B2, Ground floor, Polly Mansion, 20-24 Tai Fung Street, Yuen Long, New Territories|Yuen Long District|lat: 22.4459310|lng: 114.0304970|yl.fourseasmaid@yahoo.com|25014800|25014200|Foreign Domestic Helpers|2014
482|Great Possession Employment Agency|大有僱傭中心|Shop 4, Ground floor, Chit Lee Commercial Building, 30-36 Shau Kei Wan Road, Sai Wan Ho, Hong Kong|Eastern District|lat: 22.2835145|lng: 114.2205065|wepossess@gmail.com|21178119|25138773|Foreign Domestic Helpers|2004
483|Great Possession Employment Agency|大有僱傭中心|Shop 120, Level 5, Sceneway Plaza, 8 Sceneway Road, Lam Tin, Kowloon|Kwun Tong District|lat: 22.3069951|lng: 114.2335701|gplamtim@gmail.com|21174133|31889443|Foreign Domestic Helpers|2005
484|Bright Essence International Limited|朗逸國際有限公司|Ground floor, 251 Ma Tin Tsuen, Ma Tin Pok, Yuen Long, New Territories|Yuen Long District|lat: 22.4445484|lng: 114.0222095|brilliant_stevencho@yahoo.com.hk|24760326|24739776|Foreign Domestic Helpers|2004
485|Yat Yin Domestic Helper Agency|逸欣僱傭中心|Flat 1B, Ground floor, Lucky Building, 119 Castle Peak Road, San Hui, Tuen Mun, New Territories|Tuen Mun District|lat: 22.3977075|lng: 113.9771739|yatyin314@yahoo.com.hk|97218652|26180210|Foreign Domestic Helpers|2004
489|California Employment Agency|迦利僱傭公司|Unit 3001, 3rd floor, In-Citi, 15-19 Kau Yuk Road, Yuen Long, New Territories|Yuen Long District|lat: 22.4427237|lng: 114.0272673|info@california-maid.com|24783013|24783612|Foreign Domestic Helpers, Local Domestic Helpers|2004
492|SVC DEVELOPMENT CO.|思維僱傭|Unit D7, 12th floor, Block D, Waylee Industrial Centre, 30-38 Tsuen King Circuit, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3773257|lng: 114.1105848|svcagency.doc@gmail.com|37096778|39093654|Foreign Domestic Helpers, Local Domestic Helpers|2004
494|Hing Yee Employment Agency Limited|慶宜僱傭代理有限公司|Room 702, 7th floor, Causeway Bay Centre, 15-23 Sugar Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2800525|lng: 114.1866721|lily@hingyee.com.hk|28907132|28905870|Foreign Domestic Helpers, Local Domestic Helpers|2004
496|Asian Mart Employment Centre|匯亞僱傭中心|Room 1702, 17th floor, Hang Bong Commercial Centre, 28 Shanghai Street, Jordan, Kowloon|Yau Tsim Mong District|lat: 22.3039237|lng: 114.1693415|evachow_asianmart@yahoo.com.hk|23021616|23021722|Foreign Domestic Helpers, Local Domestic Helpers|2004
501|Markwell Service Company|緻佳服務公司|Room 801, 8th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3167660|lng: 114.1701700|billywfko@gmail.com|21392752|21392800|Foreign Domestic Helpers, Local Domestic Helpers|2004
502|O & S Employment Agency|安心海外僱傭中心|Shop 3B, Ground floor, Roca Centre, 12-18 Shu Kuk Street, North Point, Hong Kong|Eastern District|lat: 22.2910540|lng: 114.2008090|hr@ons.com.hk|28560866|28560777|Foreign Domestic Helpers, Local Domestic Helpers|2004
507|Multiway Employment Service Centre|易達僱傭服務中心|Flat 705, 7th floor, Yuen Fat Industrial Building, 25 Wang Chiu Road, Kowloon Bay, Kowloon|Kwun Tong District|lat: 22.3225214|lng: 114.2092359|multiwaymaids@gmail.com| | |Foreign Domestic Helpers|2004
508|Hong Maid Employment Agency|康美雇傭介紹所|Room 506, 5th floor, Hing Yip Commercial Centre, 272-284 Des Voeux Road Central, Central, Hong Kong|Central and Western District|lat: 22.2865267|lng: 114.1514830|info@homemaid.com.hk|31135201|36905556|Foreign Domestic Helpers|2005
513|Well House Employment Service Limited|惠浩僱傭有限公司|Shop 1069, 1st floor, The Point, 3 Sugar Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2799736|lng: 114.1864561|well.house@yahoo.com.hk|36895788|30116016|Foreign Domestic Helpers, Local Domestic Helpers|2005
514|K and B Employment Centre|稱心僱傭中心|Room 1501, 15th floor, Causeway Bay Commercial Building, 1-5 Sugar Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2799736|lng: 114.1864561|kandb@biznetvigator.com|31738822|31738855|Foreign Domestic Helpers|2005
515|K and B Employment Centre|稱心僱傭中心|Room 717, 7th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3169020|lng: 114.1702141|kandb2@biznetvigator.com|31658811|23852772|Foreign Domestic Helpers|2005
519|Rejoice Employment Services Limited|家家樂僱傭服務有限公司|Flat B, 5th floor, Fairview Mansion, 51 Paterson Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2814485|lng: 114.1850518|rpt_shirley@yahoo.com|25771682|34282273|Foreign Domestic Helpers|2005
529|Pawer Express International Company Limited|上富策略股份有限公司|Ground floor, 1A Watson Road, North Point, Hong Kong|Eastern District|lat: 22.2866559|lng: 114.1913973|ckpe@biznetvigator.com|25783311|25781368|Foreign Domestic Helpers, Local Domestic Helpers|2005
533|An Apple Travel & Employment Services Limited|紅蘋果旅遊僱傭服務有限公司|Room 907, 9th floor, Tower 2, Silvercord, 30 Canton Road, Tsim Sha Tsui, Kowloon|Yau Tsim Mong District|lat: 22.2974849|lng: 114.1694085| | | |Foreign Domestic Helpers|2005
543|Hung Chau Company Limited|鴻舟有限公司|Shop A25, Ground floor, Nan Fung Plaza, 8 Pui Shing Road, Tseung Kwan O, New Territories|Sai Kung District|lat: 22.3146290|lng: 114.2642970|paul@homes.hk.cn|31023311|31020066|Foreign Domestic Helpers, Imported Worker|2012
551|Top Wealth Employment Agency|特富僱傭中心|Room 405, 4th floor, Blissful Building, 243-247 Des Voeux Road Central, Central, Hong Kong|Central and Western District|lat: 22.2867225|lng: 114.1523585| | | |Foreign Domestic Helpers|2005
555|Find a Foreign Employer Agency||5th floor, Yat Fat Building, 44-46 Des Voeux Road Central, Central, Hong Kong|Central and Western District|lat: 22.2832424|lng: 114.1565701| | | |Foreign Domestic Helpers|2005
557|C & R Employment Agency|欣澤僱傭中心|Shop 19, 1st floor, Hop Yick Commercial Centre, 33 Hop Choi Street, Yuen Long, New Territories|Yuen Long District|lat: 22.4424569|lng: 114.0300934|info@cnr.com.hk|82082266|24433212|Foreign Domestic Helpers, Local Domestic Helpers|2005
562|Kasa Maid Agency Limited|金莎來僱傭中心有限公司|Room 745, 7th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3738049|lng: 114.1163548|info@kasamaid.com|24997676|24997399|Foreign Domestic Helpers, Imported Worker|2005
563|Kasa Maid Agency Limited|金莎來僱傭中心有限公司|Shop B, Ground floor, On Lok Building, 1 Mei Sun Lane, Tai Po, New Territories|Tai Po District|lat: 22.4529734|lng: 114.1653639|28187898@kasamaid.com|28187898|28817488|Foreign Domestic Helpers, Imported Worker|2014
564|Kasa Maid Agency Limited|金莎來僱傭中心有限公司|Shop A, Ground floor, 63 Third Street, Sai Ying Pun, Hong Kong|Central and Western District|lat: 22.2857590|lng: 114.1421300|syp@kasamaid.com|28187868|24418881|Foreign Domestic Helpers, Imported Worker|2014
565|Kasa Maid Agency Limited|金莎來僱傭中心有限公司|Shop 1B, 2nd floor, Tung Yick Building, 8 Yu King Square. Yuen Long, New Territories|Yuen Long District|lat: 22.4440641|lng: 114.0288701|connie@josephmaid.com|21267683|21267682|Foreign Domestic Helpers|2012
568|Nan Fung Employment Service Centre Limited|南豐僱傭中心有限公司|Room 943, 9th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3738049|lng: 114.1163548| |62386266|24146328|Foreign Domestic Helpers, Local Domestic Helpers|2005
572|LogonCorp Employment Agency|樂安居僱傭服務|Shop 24, Podium 1st floor, Caribbean Bazaar Shopping Arcade, 1 Kin Tung Road, Lantau Island, New Territories|Islands District|lat: 22.2918302|lng: 113.9492322| | | |Foreign Domestic Helpers, Local Domestic Helpers|2010
574|Goal Miles Overseas Employment Company|高佳海外僱傭公司|Room 1603, 16th floor, Landwide Commercial Building, 118-120 Austin Road, Tsim Sha Tsui, Kowloon|Yau Tsim Mong District|lat: 22.3031435|lng: 114.1730266|goalmiles@yahoo.com.hk|31882720| |Foreign Domestic Helpers|2005
575|Fortunecome Services Pte Co|富來服務(私人)公司|Flat B, 20th floor, Dragon Rise, 9-11 Pennington Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2788449|lng: 114.1859200|aleen@fortunecome-services.com.hk|29156689|28902538|Foreign Domestic Helpers|2005
581|Maxwell International Employment Agency|新鎧國際僱傭公司|Room 1406A, 14th floor, Wu Sang House, 655 Nathan Road, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3185385|lng: 114.1692705|maxwellhk@gmail.com|35635088|35636011|Foreign Domestic Helpers|2005
582|Goodwill Placement Services Limited|家譽僱請有限公司|Room 150, 1st floor, Seven Seas Shopping Centre, 121 King's Road, North Point, Hong Kong|Eastern District|lat: 22.2876120|lng: 114.1928410| | | |Foreign Domestic Helpers|2005
587|Hung Fai (HK) Employment Agency Limited|鴻輝(香港)女傭有限公司|Room A, 11th floor, Nathan Tower, 518-520 Nathan Road, Yau Ma Tei, Kowloon|Yau Tsim Mong District|lat: 22.3124053|lng: 114.1709903|hungfai_miss_tse@yahoo.com.hk|31882668|31889944|Foreign Domestic Helpers|2005
592|Arrow Employment Services|精薦人才服務中心|Room 1603B, 16th floor, Sunbeam Commercial Building, 469-471 Nathan Road, Yau Ma Tei, Kowloon|Yau Tsim Mong District|lat: 22.3106905|lng: 114.1707975|info@arrowes.hk|21511125|23326511|Foreign Domestic Helpers|2006
593|Arrow Employment Services|精薦人才服務中心|Room 2102D, 21st floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3738049|lng: 114.1163548|info@arrowes.hk|21511125|23326511|Foreign Domestic Helpers|2014
594|Colorfly Employment Services Limited|彩蝶僱傭服務有限公司|Room 813, 8th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3168590|lng: 114.1701860|geton1@get.on.com.hk|37035148|37092558|Foreign Domestic Helpers|2006
598|Master Consultants Hong Kong|萬得僱傭中心|Shop 74, Glorious Garden, 45 Lung Mun Road, Tuen Mun, New Territories|Tuen Mun District|lat: 22.3828100|lng: 113.9654640|masteragency88@gmail.com|24539366|37474292|Foreign Domestic Helpers, Office Staff / Executive Search|2006
601|FullHeart Employment Agency|全意僱傭中心|Shop 59, Ground floor, Fortune Commercial Building, 362 Sha Tsui Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3681465|lng: 114.1188984|fullheart8@yahoo.com.hk| | |Foreign Domestic Helpers|2006
610|J C Casa Recruitment Agency|嘉栢僱傭中心|Room 1402-03, 14th floor, Cameron Commercial Centre, 458-468 Hennessy Road, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2795005|lng: 114.1821624|info@jccasa.com|28668290|28613302|Foreign Domestic Helpers|2006
611|J C Casa Recruitment Agency|嘉栢僱傭中心|Shop 6, Level 2, Hilton Plaza, 3-9 Sha Tin Centre Street, Sha Tin, New Territories|Sha Tin District|lat: 22.3791236|lng: 114.1868700|info@jccasa.com|28668891|28908119|Foreign Domestic Helpers|2006
612|J C Casa Recruitment Agency|嘉栢僱傭中心|Shop A10, Basement, Manly Plaza Phase II, Tak Lee Building, 993 King's Road, Quarry Bay, Hong Kong|Eastern District|lat: 22.2854260|lng: 114.2118510|info@jccasa.com|28668752|24989329|Foreign Domestic Helpers|2006
619|Express-Domestic Employment Services Agency|快遞家傭僱用服務代理|Flat B, 3rd floor, Chip Lee Building, 180 Sai Yeung Choi Street South, Mong Kok, Kowloon|Sha Tin District|lat: 22.3211320|lng: 114.1697270|tonyexpressdomestic@yahoo.com.hk|63321312| |Foreign Domestic Helpers|2006
622|ASIA RAINBOW EMPLOYMENT SERVICES CENTRE|彩虹僱傭中心|Shop B91A, 1st floor, Shopping Centre, Goodrich Garden, 9 Leung Tak Street, Tuen Mun, New Territories|Tuen Mun District|lat: 22.4086046|lng: 113.9676980| |24674066|35291414|Foreign Domestic Helpers|2006
623|Mei Foo Employment Agency Limited|美孚僱傭有限公司|Shop 100A2, Ground floor, 69-119 Broadway, Mei Foo Sun Chuen, Mei Foo, Kowloon|Sham Shui Po District|lat: 22.3366356|lng: 114.1402195|kathy@meifoo.imsbiz.com.hk|27853332|27852322|Foreign Domestic Helpers, Local Domestic Helpers|2006
